date_time,pressao_mH2O_final,gmu_level_mH2O_compensado,grafica_level_mH2O_compensado,correios_level_mH2O_compensado,chuva_mm_30min
2022-09-11 16:00:00,9.627207817,21.076492183000006,,,0.0
2022-09-11 16:30:00,9.629387334,21.095112666,,,0.0
2022-09-11 17:00:00,9.633535447,21.114764553,,,0.0
2022-09-11 17:30:00,9.633394833,21.129705167,,,0.0
2022-09-11 18:00:00,9.635714964,21.142185035999994,,,0.0
2022-09-11 18:30:00,9.637542946,21.152557053999995,,,0.0
2022-09-11 19:00:00,9.640073997999998,21.158426002,,,0.0
2022-09-11 19:30:00,9.643870576,21.157829424,,,0.0
2022-09-11 20:00:00,9.645839172,21.158660828000002,,,0.0
2022-09-11 20:30:00,9.649213907999998,21.151786092000002,,,0.0
2022-09-11 21:00:00,9.654627547,21.147572453,,,0.0
2022-09-11 21:30:00,9.654697854,21.139002146000003,,,0.0
2022-09-11 22:00:00,9.65244803,21.130651970000002,,,0.0
2022-09-11 22:30:00,9.656103994,21.126396006,,,0.0
2022-09-11 23:00:00,9.658142897,21.120157103000004,,,0.0
2022-09-11 23:30:00,9.662009781999998,21.113590218000002,,,0.0
2022-09-12 00:00:00,9.657650748,21.113649252000002,,,0.0
2022-09-12 00:30:00,9.652729258,21.117170742,,,0.0
2022-09-12 01:00:00,9.649776364,21.122723636000003,,,0.0
2022-09-12 01:30:00,9.648088995999998,21.134111004,,,0.0
2022-09-12 02:00:00,9.646542242,21.146457757999997,,,0.0
2022-09-12 02:30:00,9.642534743,21.161965257,,,0.0
2022-09-12 03:00:00,9.640777068,21.182922932000004,,,0.0
2022-09-12 03:30:00,9.641409831,21.202090168999998,,,0.0
2022-09-12 04:00:00,9.641128603,21.219971397000002,,,0.0
2022-09-12 04:30:00,9.636347727,21.244152273,,,0.0
2022-09-12 05:00:00,9.637191411,21.258708589,,,0.0
2022-09-12 05:30:00,9.637613253,21.279186747000004,,,0.0
2022-09-12 06:00:00,9.638667858,21.293732142000003,,,0.0
2022-09-12 06:30:00,9.638105402,21.307994598,,,0.0
2022-09-12 07:00:00,9.64190198,21.30929802,,,0.0
2022-09-12 07:30:00,9.644222111,21.313877889000004,,,0.0
2022-09-12 08:00:00,9.644292418,21.315907582,,,0.0
2022-09-12 08:30:00,9.642745664,21.306154336,,,0.0
2022-09-12 09:00:00,9.645276716,21.305723284000003,,,0.0
2022-09-12 09:30:00,9.649002987,21.293697013,,,0.0
2022-09-12 10:00:00,9.645206409,21.290493590999997,,,0.0
2022-09-12 10:30:00,9.641198909999998,21.282301090000004,,,0.0
2022-09-12 11:00:00,9.641691059,21.269508941,,,0.0
2022-09-12 11:30:00,9.63487128,21.25802872,,,0.0
2022-09-12 12:00:00,9.628121808,21.244878192000005,,,0.0
2022-09-12 12:30:00,9.624676765,21.231523235,,,0.0
2022-09-12 13:00:00,9.621653564,21.220146436,,,0.0
2022-09-12 13:30:00,9.617013301999998,21.209886698,,,0.0
2022-09-12 14:00:00,9.614341636,21.195658363999996,,,0.0
2022-09-12 14:30:00,9.610404444,21.189495556,,,0.0
2022-09-12 15:00:00,9.606889094,21.190010906,,,0.0
2022-09-12 15:30:00,9.604709577,21.189690422999995,,,0.0
2022-09-12 16:00:00,9.60323313,21.20136687,,,0.0
2022-09-12 16:30:00,9.600772385,21.211927615,,,0.0
2022-09-12 17:00:00,9.604217427999998,21.218082572,,,0.0
2022-09-12 17:30:00,9.605272033,21.222727966999997,,,0.0
2022-09-12 18:00:00,9.606818787,21.225181213,,,0.0
2022-09-12 18:30:00,9.608506155,21.227693845,,,0.0
2022-09-12 19:00:00,9.608084313,21.226715687000002,,,0.0
2022-09-12 19:30:00,9.610755979,21.221244021,,,0.0
2022-09-12 20:00:00,9.616802381,21.215597619,,,0.0
2022-09-12 20:30:00,9.615818083,21.205881917,,,0.0
2022-09-12 21:00:00,9.615677469,21.196622531000003,,,0.0
2022-09-12 21:30:00,9.614622864,21.186577136000004,,,0.0
2022-09-12 22:00:00,9.613146417,21.171553583,,,0.0
2022-09-12 22:30:00,9.613287031,21.157712969000002,,,0.0
2022-09-12 23:00:00,9.609771681,21.146828319,,,0.0
2022-09-12 23:30:00,9.608435848,21.135964152,,,0.0
2022-09-13 00:00:00,9.60604541,21.12815459,,,0.0
2022-09-13 00:30:00,9.601545762,21.124754237999994,,,0.0
2022-09-13 01:00:00,9.597467956,21.120232044,,,0.0
2022-09-13 01:30:00,9.596835193,21.122564807,,,0.0
2022-09-13 02:00:00,9.597327342,21.124772658,,,0.0
2022-09-13 02:30:00,9.59760857,21.13029143,,,0.0
2022-09-13 03:00:00,9.596343044,21.145456956000004,,,0.0
2022-09-13 03:30:00,9.599155324,21.150644676,,,0.0
2022-09-13 04:00:00,9.598733482,21.166466518,,,0.0
2022-09-13 04:30:00,9.597889798,21.183710202000004,,,0.0
2022-09-13 05:00:00,9.604006507,21.192693493,,,0.0
2022-09-13 05:30:00,9.608717076,21.205582924000005,,,0.0
2022-09-13 06:00:00,9.615396241,21.214503758999996,,,0.0
2022-09-13 06:30:00,9.618419442,21.223280557999995,,,0.0
2022-09-13 07:00:00,9.625309528,21.224990472,,,0.0
2022-09-13 07:30:00,9.629879483,21.227620517000002,,,0.0
2022-09-13 08:00:00,9.623130011,21.229469989,,,1.27
2022-09-13 08:30:00,9.629738869,21.218661131,,,0.508
2022-09-13 09:00:00,9.630160711,21.211039289,,,0.0
2022-09-13 09:30:00,9.630301325,21.199998675000003,,,0.0
2022-09-13 10:00:00,9.652799565,21.184700434999996,,,1.524
2022-09-13 10:30:00,9.635433736,21.177266264,,,0.0
2022-09-13 11:00:00,9.624887686,21.164612313999996,,,0.0
2022-09-13 11:30:00,9.625801677,21.149298322999996,,,0.0
2022-09-13 12:00:00,9.618770977,21.128529023,,,0.0
2022-09-13 12:30:00,9.620880187,21.111119813000002,,,0.0
2022-09-13 13:00:00,9.61377918,21.092120819999998,,,0.0
2022-09-13 13:30:00,9.607732778,21.078067222,,,0.0
2022-09-13 14:00:00,9.60534234,21.062957659999995,,,0.0
2022-09-13 14:30:00,9.600139622,21.054460378,,,0.0
2022-09-13 15:00:00,9.598030412,21.048969588,,,0.0
2022-09-13 15:30:00,9.597186728,21.050113272,,,0.0
2022-09-13 16:00:00,9.598522561,21.053277439000002,,,0.0
2022-09-13 16:30:00,9.599889026975546,,,,0.0
2022-09-13 17:00:00,9.593248349430624,,,,0.0
2022-09-13 17:30:00,9.588395095655937,,,,0.0
2022-09-13 18:00:00,9.583541841881248,,,,0.0
